Account Name,nsbi_sector,Deal Type,NSBI Financial Contribution (Commitment/Announced),Place Name,nsbi_county,PostalCode,fiscal year,Longitude,Latitude,New Georeferenced Column
Roswall Development Incorporated,Energy,Export Growth Program,9200,Halifax,Halifax Regional Municipality,B3M2L3,2018 - 2019,-63.66099,44.683287,POINT (-63.66099 44.683287)
EcoPilot Canada Inc.,Engineering & Professional,Export Growth Program,5520,Halifax,Halifax Regional Municipality,B3J3L7,2018 - 2019,-63.575048,44.649083,POINT (-63.575048 44.649083)
Made with Local Snack Foods Inc.,Agri-food,Export Growth Program,500,Dartmouth,Halifax Regional Municipality,B2Y2V9,2018 - 2019,-63.568797,44.669949,POINT (-63.568797 44.669949)
"Accomplice Content Supply Co., Inc.",Film Production,Export Growth Program,5418,Halifax,Halifax Regional Municipality,B3K4C6,2018 - 2019,-63.593146,44.655027,POINT (-63.593146 44.655027)
Beyond Food Inc.,Agri-food,Export Growth Program,4717,Dartmouth,Halifax Regional Municipality,B3B1W2,2018 - 2019,-63.580528,44.698469,POINT (-63.580528 44.698469)
Chain-Yard Cider Inc,Agri-food,Export Growth Program,2209,Halifax,Halifax Regional Municipality,B3K4C8,2018 - 2019,-63.593851,44.655519,POINT (-63.593851 44.655519)
Content Bloom Inc,ICT (includes Digital Media),Export Growth Program,2105,Bedford,Halifax Regional Municipality,B4A1C6,2018 - 2019,-63.669301,44.724611,POINT (-63.669301 44.724611)
East Coast School of Languages (ECSL),Business Services,Export Growth Program,7206,Halifax,Halifax Regional Municipality,B3J1V6,2018 - 2019,-63.571891,44.646015,POINT (-63.571891 44.646015)
Eli Technology,ICT (includes Digital Media),Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3H2R9,2018 - 2019,-63.573015,44.636975,POINT (-63.573015 44.636975)
GeoNavo Positioning Systems Inc,ICT (includes Digital Media),Export Growth Program,7350,Hammonds Plains,Halifax Regional Municipality,B4B2B8,2018 - 2019,-63.800164,44.734087,POINT (-63.800164 44.734087)
InterTalk Critical Information Systems Inc,ICT (includes Digital Media),Export Growth Program,15939,Dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132,POINT (-63.611144 44.704132)
Jaza Energy Inc.,Energy,Export Growth Program,15650,Halifax,Halifax Regional Municipality,B3L1Y9,2018 - 2019,-63.606168,44.655819,POINT (-63.606168 44.655819)
Just Us! Coffee Roasters Co-op Ltd,Agri-food,Export Growth Program,4051,Wolfville,Kings,B4P2R3,2018 - 2019,-64.348807,45.068884,POINT (-64.348807 45.068884)
Kula Partners Inc.,Business Services,Export Growth Program,1665,Halifax,Halifax Regional Municipality,B3J3X8,2018 - 2019,-63.576767,44.64669,POINT (-63.576767 44.64669)
Lisa Young Lee Inc.,Creative Industries,Export Growth Program,3350,North Sydney,Cape Breton,B2A2S1,2018 - 2019,-60.251151,46.208616,POINT (-60.251151 46.208616)
McFadgen's Bakery Limited,Agri-food,Export Growth Program,507,Glace Bay,Cape Breton,B1A3V6,2018 - 2019,-59.95500857,46.20367769,POINT (-59.95500857 46.20367769)
Mercator Geological Services Limited,Mining & Mineral Products,Export Growth Program,2187,Dartmouth,Halifax Regional Municipality,B2Y1G4,2018 - 2019,-63.566451,44.666973,POINT (-63.566451 44.666973)
Mobia Technology Innovations,ICT (includes Digital Media),Export Growth Program,25000,Dartmouth,Halifax Regional Municipality,B3B0B3,2018 - 2019,-63.591479,44.7091,POINT (-63.591479 44.7091)
Pictou Twist Pictures Inc,Film Production,Export Growth Program,5575,Halifax,Halifax Regional Municipality,B3J1J7,2018 - 2019,-63.573178,44.645217,POINT (-63.573178 44.645217)
PitchPerfect Software Inc. operating as Proposify,ICT (includes Digital Media),Export Growth Program,25000,Halifax,Halifax Regional Municipality,B3J2A2,2018 - 2019,-63.573726,44.646512,POINT (-63.573726 44.646512)
RIMOT.IO Inc,ICT (includes Digital Media),Export Growth Program,2533,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
Sand To Sky Productions,Film Production,Export Growth Program,3287,Blind Bay,Halifax Regional Municipality,B3Z1M2,2018 - 2019,-63.757708,44.662427,POINT (-63.757708 44.662427)
Seafoam Lavender Company,Agri-food,Export Growth Program,1240,River John,Pictou,B0K1N0,2018 - 2019,-63.041939,45.747988,POINT (-63.041939 45.747988)
Shift,Business Services,Export Growth Program,1300,Head Of St Margarets Bay,Halifax Regional Municipality,B3Z1X8,2018 - 2019,-63.919943,44.680846,POINT (-63.919943 44.680846)
Site 2020 Inc.,ICT (includes Digital Media),Export Growth Program,7050,Dartmouth,Halifax Regional Municipality,B3B1L3,2018 - 2019,-63.595664,44.704755,POINT (-63.595664 44.704755)
Steinhart Distillery Limited,Agri-food,Export Growth Program,5550,Antigonish,Antigonish,B2G2L1,2018 - 2019,-62.155396,45.566847,POINT (-62.155396 45.566847)
Synclavier Digital Corporation Ltd.,ICT (includes Digital Media),Export Growth Program,2382,D'Escousse,Cape Breton,B0E1K0,2018 - 2019,-61.010749,45.53269,POINT (-61.010749 45.53269)
Ultra Electronics Maritime Systems,Advanced Manufacturing,Export Growth Program,1662,Dartmouth,Halifax Regional Municipality,B2Y4N2,2018 - 2019,-63.545652,44.649583,POINT (-63.545652 44.649583)
Waterstar Entertainment Inc.,Film Production,Export Growth Program,3412,Halifax,Halifax Regional Municipality,B3H2V2,2018 - 2019,-63.573653,44.632873,POINT (-63.573653 44.632873)
Waycobah Contracting Incorporated,Fish & Seafood Processing,Export Growth Program,1730,Whycocomagh,Inverness,B0E3M0,2018 - 2019,-60.965235,46.081461,POINT (-60.965235 46.081461)
Afishionado Fish Mongers Inc,Fish & Seafood Processing,Export Growth Program,6132,Bedford,Halifax Regional Municipality,B4A4J8,2018 - 2019,-63.653467,44.723596,POINT (-63.653467 44.723596)
Bluedrop Training & Simulation Inc.,Aerospace & Defence,Export Growth Program,2192,Halifax,Halifax Regional Municipality,B3S1N2,2018 - 2019,-63.669584,44.656068,POINT (-63.669584 44.656068)
Compass Distillers,Agri-food,Export Growth Program,1027,Halifax,Halifax Regional Municipality,B3K4C4,2018 - 2019,-63.592367,44.654497,POINT (-63.592367 44.654497)
